budget,log_budget,runtime,genero_principal,estudio,diretor,ator_principal,mes_estreia,e_sequencia,e_alta_temporada,densidade_investimento,target_sucesso
200000000.0,19.11382792951231,127.0,Action,Columbia Pictures,Sam Raimi,Tobey Maguire,6,1,1,1574803.1496062991,1
200000000.0,19.11382792951231,130.0,Action,Marvel Studios,Shane Black,Robert Downey Jr.,4,1,0,1538461.5384615385,1
200000000.0,19.11382792951231,108.0,Family,Walt Disney Pictures,Tim Burton,Mia Wasikowska,3,0,0,1851851.851851852,1
210000000.0,19.162618093443648,104.0,Adventure,Ingenious Film Partners,Brett Ratner,Hugh Jackman,5,0,0,2019230.7692307692,1
200000000.0,19.11382792951231,104.0,Animation,Walt Disney Pictures,Dan Scanlon,Billy Crystal,6,0,1,1923076.923076923,1
150000000.0,18.826145858727198,150.0,Science Fiction,Paramount Pictures,Michael Bay,Shia LaBeouf,6,0,1,1000000.0,1
210000000.0,19.162618093443648,165.0,Science Fiction,Paramount Pictures,Michael Bay,Mark Wahlberg,6,1,1,1272727.2727272727,1
200000000.0,19.11382792951231,130.0,Fantasy,Walt Disney Pictures,Sam Raimi,James Franco,3,0,0,1538461.5384615385,1
200000000.0,19.11382792951231,142.0,Action,Columbia Pictures,Marc Webb,Andrew Garfield,4,1,0,1408450.704225352,1
170000000.0,18.951309000896888,125.0,Adventure,Walt Disney Pictures,Joseph Kosinski,Garrett Hedlund,12,0,1,1360000.0,1
200000000.0,19.11382792951231,106.0,Animation,Walt Disney Pictures,John Lasseter,Owen Wilson,6,1,1,1886792.4528301887,1
200000000.0,19.11382792951231,114.0,Adventure,De Line Pictures,Martin Campbell,Ryan Reynolds,6,0,1,1754385.9649122807,0
200000000.0,19.11382792951231,103.0,Animation,Walt Disney Pictures,Lee Unkrich,Tom Hanks,6,1,1,1941747.572815534,1
200000000.0,19.11382792951231,115.0,Action,Columbia Pictures,McG,Christian Bale,5,0,0,1739130.4347826086,0
190000000.0,19.06253463538792,137.0,Action,Universal Pictures,James Wan,Vin Diesel,4,1,0,1386861.3138686132,1
200000000.0,19.11382792951231,116.0,Action,Paramount Pictures,Marc Forster,Brad Pitt,6,0,1,1724137.9310344828,1
250000000.0,19.33697147982652,131.0,Action,Twentieth Century Fox Film Corporation,Bryan Singer,Hugh Jackman,5,0,0,1908396.9465648856,1
190000000.0,19.06253463538792,132.0,Action,Paramount Pictures,J.J. Abrams,Chris Pine,5,1,0,1439393.9393939395,1
195000000.0,19.088510121656228,114.0,Action,New Line Cinema,Bryan Singer,Nicholas Hoult,2,0,0,1710526.3157894737,0
105000000.0,18.46947091764561,143.0,Drama,Village Roadshow Pictures,Baz Luhrmann,Leonardo DiCaprio,5,0,0,734265.7342657342,1
150000000.0,18.826145858727198,116.0,Adventure,Walt Disney Pictures,Mike Newell,Jake Gyllenhaal,5,0,0,1293103.448275862,1
180000000.0,19.00846741441004,131.0,Action,Legendary Pictures,Guillermo del Toro,Idris Elba,7,0,1,1374045.8015267176,1
195000000.0,19.088510121656228,154.0,Action,Paramount Pictures,Michael Bay,Shia LaBeouf,6,0,1,1266233.7662337662,1
185000000.0,19.035866388448003,122.0,Adventure,Lucasfilm,Steven Spielberg,Harrison Ford,5,0,0,1516393.4426229508,1
175000000.0,18.980296537602072,93.0,Adventure,Walt Disney Pictures,Peter Sohn,Raymond Ochoa,11,0,0,1881720.430107527,0
185000000.0,19.035866388448003,93.0,Animation,Walt Disney Pictures,Brenda Chapman,Kelly Macdonald,6,0,1,1989247.311827957,1
185000000.0,19.035866388448003,122.0,Action,Paramount Pictures,Justin Lin,Chris Pine,7,1,1,1516393.4426229508,0
180000000.0,19.00846741441004,98.0,Animation,Walt Disney Pictures,Andrew Stanton,Ben Burtt,6,0,1,1836734.693877551,1
140000000.0,18.757152987716434,91.0,Action,New Line Cinema,Brett Ratner,Chris Tucker,8,1,0,1538461.5384615385,0
200000000.0,19.11382792951231,158.0,Action,Columbia Pictures,Roland Emmerich,John Cusack,10,0,0,1265822.7848101265,1
200000000.0,19.11382792951231,96.0,Animation,Walt Disney,Robert Zemeckis,Gary Oldman,11,0,0,2083333.3333333333,0
176000003.0,18.9859945757297,124.0,Science Fiction,Village Roadshow Pictures,Lilly Wachowski,Mila Kunis,2,0,0,1419354.8629032257,0
180000000.0,19.00846741441004,109.0,Action,Village Roadshow Pictures,David Yates,Alexander Skarsgård,6,0,1,1651376.1467889908,0
180000000.0,19.00846741441004,143.0,Adventure,Walt Disney,Andrew Adamson,William Moseley,12,0,1,1258741.2587412586,1
178000000.0,18.997294113874336,144.0,Science Fiction,Twentieth Century Fox Film Corporation,Bryan Singer,James McAvoy,5,0,0,1236111.111111111,1
185000000.0,19.035866388448003,152.0,Drama,DC Comics,Christopher Nolan,Christian Bale,7,0,1,1217105.2631578948,1
175000000.0,18.980296537602072,96.0,Animation,Pixar Animation Studios,Pete Docter,Ed Asner,5,0,0,1822916.6666666667,1
175000000.0,18.980296537602072,94.0,Animation,DreamWorks Animation,Conrad Vernon,Seth Rogen,3,0,0,1861702.1276595744,1
140000000.0,18.757152987716434,126.0,Action,Marvel Studios,Jon Favreau,Robert Downey Jr.,4,0,0,1111111.111111111,1
170000000.0,18.951309000896888,126.0,Adventure,Paramount Pictures,Martin Scorsese,Ben Kingsley,11,0,0,1349206.349206349,0
170000000.0,18.951309000896888,106.0,Action,"Todman, Simon, LeMasters Productions",Barry Sonnenfeld,Will Smith,6,0,1,1603773.5849056605,0
145000000.0,18.7922443072814,112.0,Adventure,Universal Pictures,Rob Cohen,Brendan Fraser,7,0,1,1294642.857142857,1
175000000.0,18.980296537602072,123.0,Action,DC Comics,David Ayer,Will Smith,8,0,0,1422764.2276422763,1
175000000.0,18.980296537602072,96.0,Fantasy,Columbia Pictures,Tom Shadyac,Steve Carell,6,0,1,1822916.6666666667,0
178000000.0,18.997294113874336,113.0,Action,Village Roadshow Pictures,Doug Liman,Tom Cruise,5,0,0,1575221.2389380531,1
175000000.0,18.980296537602072,135.0,Adventure,Universal Pictures,Kevin Reynolds,Kevin Costner,7,0,1,1296296.2962962964,0
175000000.0,18.980296537602072,118.0,Adventure,Paramount Pictures,Stephen Sommers,Dennis Quaid,8,0,0,1483050.847457627,0
175000000.0,18.980296537602072,94.0,Drama,Walt Disney Pictures,Pete Docter,Amy Poehler,6,0,1,1861702.1276595744,1
175000000.0,18.980296537602072,106.0,Family,Walt Disney Pictures,Jon Favreau,Neel Sethi,4,0,0,1650943.3962264152,1
200000000.0,19.11382792951231,124.0,Adventure,Marvel Studios,Jon Favreau,Robert Downey Jr.,4,1,0,1612903.2258064516,1
170000000.0,18.951309000896888,127.0,Adventure,Universal Pictures,Rupert Sanders,Kristen Stewart,5,0,0,1338582.6771653544,1
180000000.0,19.00846741441004,97.0,Fantasy,Walt Disney Pictures,Robert Stromberg,Angelina Jolie,5,0,0,1855670.1030927836,1
170000000.0,18.951309000896888,130.0,Science Fiction,Ingenious Media,Matt Reeves,Andy Serkis,6,1,1,1307692.3076923077,1
175000000.0,18.980296537602072,119.0,Drama,Mid Atlantic Films,Carl Rinsch,Keanu Reeves,12,0,1,1470588.2352941176,0
170000000.0,18.951309000896888,136.0,Action,Marvel Studios,Anthony Russo,Chris Evans,3,0,0,1250000.0,1
165000000.0,18.92145603792546,93.0,Comedy,DreamWorks Animation,Mike Mitchell,Mike Myers,5,0,0,1774193.5483870967,1
190000000.0,19.06253463538792,130.0,Adventure,Walt Disney Pictures,Brad Bird,Britt Robertson,5,0,0,1461538.4615384615,0
165000000.0,18.92145603792546,102.0,Adventure,Walt Disney Pictures,Chris Williams,Scott Adsit,10,1,0,1617647.0588235294,1
165000000.0,18.92145603792546,108.0,Family,Walt Disney Animation Studios,Rich Moore,John C. Reilly,11,0,0,1527777.7777777778,1
165000000.0,18.92145603792546,100.0,Adventure,Golden Mean,Robert Zemeckis,Tom Hanks,11,0,0,1650000.0,0
165000000.0,18.92145603792546,120.0,Action,Twentieth Century Fox Film Corporation,Roland Emmerich,Liam Hemsworth,6,0,1,1375000.0,1
165000000.0,18.92145603792546,98.0,Fantasy,DreamWorks Animation,Chris Sanders,Jay Baruchel,3,0,0,1683673.469387755,1
200000000.0,19.11382792951231,109.0,Action,Columbia Pictures,Jonathan Mostow,Arnold Schwarzenegger,7,1,1,1834862.385321101,1
170000000.0,18.951309000896888,121.0,Action,Marvel Studios,James Gunn,Chris Pratt,7,0,1,1404958.6776859504,1
165000000.0,18.92145603792546,169.0,Adventure,Paramount Pictures,Christopher Nolan,Matthew McConaughey,11,0,0,976331.3609467456,1
160000000.0,18.8906843794481,148.0,Action,Legendary Pictures,Christopher Nolan,Leonardo DiCaprio,7,0,1,1081081.0810810812,1
15000000.0,16.52356082573315,120.0,Action,Cine Bazar,Hideaki Anno,Hiroki Hasegawa,7,0,1,125000.0,1
250000000.0,19.33697147982652,169.0,Adventure,WingNut Films,Peter Jackson,Ian McKellen,11,0,0,1479289.9408284023,1
38000000.0,17.453096744006448,106.0,Action,Universal Pictures,Rob Cohen,Paul Walker,6,0,1,358490.56603773584,1
150000000.0,18.826145858727198,166.0,Fantasy,Paramount Pictures,David Fincher,Cate Blanchett,11,0,0,903614.4578313254,1
160000000.0,18.8906843794481,132.0,Action,Ingenious Film Partners,Matthew Vaughn,James McAvoy,5,0,0,1212121.2121212122,1
160000000.0,18.8906843794481,137.0,Action,Studio Babelsberg,Francis Lawrence,Jennifer Lawrence,11,1,0,1167883.211678832,1
150000000.0,18.826145858727198,109.0,Fantasy,Walt Disney Pictures,Jon Turteltaub,Nicolas Cage,7,0,1,1376146.7889908256,0
160000000.0,18.8906843794481,99.0,Adventure,Virtual Studios,Wolfgang Petersen,Kurt Russell,5,0,0,1616161.616161616,0
170000000.0,18.951309000896888,113.0,Fantasy,Walt Disney Pictures,James Bobin,Johnny Depp,5,1,0,1504424.7787610618,0
160000000.0,18.8906843794481,93.0,Fantasy,DreamWorks SKG,Chris Miller,Mike Myers,5,0,0,1720430.1075268816,1
160000000.0,18.8906843794481,123.0,Action,Universal Pictures,Duncan Jones,Paula Patton,5,0,0,1300813.0081300812,1
155000000.0,18.858935681335133,126.0,Science Fiction,Paramount Pictures,Alan Taylor,Arnold Schwarzenegger,6,1,1,1230158.7301587302,1
155000000.0,18.858935681335133,113.0,Adventure,Dune Entertainment,Michael Apted,Skandar Keynes,8,0,0,1371681.4159292036,1
140000000.0,18.757152987716434,183.0,History,Jerry Bruckheimer Films,Michael Bay,Ben Affleck,5,0,0,765027.3224043716,1
150000000.0,18.826145858727198,144.0,Adventure,Paramount Pictures,Michael Bay,Shia LaBeouf,6,0,1,1041666.6666666666,1
155000000.0,18.858935681335133,175.0,War,France 3 Cinéma,Oliver Stone,Colin Farrell,11,0,0,885714.2857142857,0
150000000.0,18.826145858727198,138.0,Adventure,Warner Bros.,David Yates,Daniel Radcliffe,6,0,1,1086956.5217391304,1
150000000.0,18.826145858727198,157.0,Adventure,Patalex IV Productions Limited,Mike Newell,Daniel Radcliffe,11,0,0,955414.0127388535,1
150000000.0,18.826145858727198,92.0,Fantasy,Columbia Pictures,Peter Berg,Will Smith,7,0,1,1630434.7826086956,1
150000000.0,18.826145858727198,101.0,Drama,Village Roadshow Pictures,Francis Lawrence,Will Smith,12,0,1,1485148.5148514851,1
150000000.0,18.826145858727198,115.0,Adventure,Village Roadshow Pictures,Tim Burton,Johnny Depp,7,0,1,1304347.8260869565,1
150000000.0,18.826145858727198,111.0,Animation,Walt Disney Pictures,Jan Pinkava,Patton Oswalt,6,0,1,1351351.3513513512,1
150000000.0,18.826145858727198,140.0,Action,DC Comics,Christopher Nolan,Christian Bale,6,0,1,1071428.5714285714,1
150000000.0,18.826145858727198,89.0,Family,DreamWorks Animation,Eric Darnell,Ben Stiller,10,1,0,1685393.2584269664,1
150000000.0,18.826145858727198,105.0,Adventure,Twentieth Century Fox Film Corporation,Shawn Levy,Ben Stiller,5,0,0,1428571.4285714286,1
150000000.0,18.826145858727198,107.0,Adventure,Ingenious Film Partners,Gavin Hood,Hugh Jackman,4,0,0,1401869.1588785048,1
150000000.0,18.826145858727198,129.0,Adventure,Village Roadshow Pictures,Lilly Wachowski,Keanu Reeves,11,0,0,1162790.6976744186,1
150000000.0,18.826145858727198,102.0,Animation,Walt Disney Pictures,Chris Buck,Kristen Bell,11,0,0,1470588.2352941176,1
150000000.0,18.826145858727198,138.0,Adventure,Village Roadshow Pictures,Lilly Wachowski,Keanu Reeves,5,0,0,1086956.5217391304,1
170000000.0,18.951309000896888,112.0,Action,Marvel Studios,Alan Taylor,Chris Hemsworth,10,0,0,1517857.142857143,1
150000000.0,18.826145858727198,120.0,Action,Village Roadshow Pictures,George Miller,Tom Hardy,5,0,0,1250000.0,1
150000000.0,18.826145858727198,138.0,Thriller,Columbia Pictures,Ron Howard,Tom Hanks,5,0,0,1086956.5217391304,1
150000000.0,18.826145858727198,115.0,Adventure,Marvel Studios,Kenneth Branagh,Chris Hemsworth,4,0,0,1304347.8260869565,1
150000000.0,18.826145858727198,98.0,Animation,Walt Disney Animation Studios,Chris Williams,John Travolta,11,0,0,1530612.2448979593,1
150000000.0,18.826145858727198,88.0,Fantasy,Walt Disney Pictures,Hoyt Yeatman,Sam Rockwell,7,0,1,1704545.4545454546,0
150000000.0,18.826145858727198,99.0,Adventure,Legendary Pictures,Jonathan Liebesman,Sam Worthington,3,0,0,1515151.5151515151,1
150000000.0,18.826145858727198,113.0,Comedy,Village Roadshow Pictures,Tim Burton,Johnny Depp,5,0,0,1327433.628318584,0
150000000.0,18.826145858727198,131.0,Action,Paramount Pictures,Christopher McQuarrie,Tom Cruise,7,1,1,1145038.1679389314,1
150000000.0,18.826145858727198,91.0,Family,Pacific Data Images (PDI),Steve Hickner,Jerry Seinfeld,10,0,0,1648351.6483516484,0
150000000.0,18.826145858727198,91.0,Animation,DreamWorks Animation,Jennifer Yuh Nelson,Jack Black,5,1,0,1648351.6483516484,1
150000000.0,18.826145858727198,103.0,Action,Paramount Pictures,M. Night Shyamalan,Noah Ringer,6,0,1,1456310.6796116505,1
150000000.0,18.826145858727198,126.0,Adventure,Paramount Pictures,J.J. Abrams,Tom Cruise,5,0,0,1190476.1904761905,1
150000000.0,18.826145858727198,131.0,Action,Columbia Pictures,Roland Emmerich,Channing Tatum,6,0,1,1145038.1679389314,0
150000000.0,18.826145858727198,88.0,Adventure,Walt Disney Animation Studios,Simon Wells,Seth Green,3,0,0,1704545.4545454546,0
149000000.0,18.819456870621142,85.0,Adventure,Aardman Animations,David Bowers,Hugh Jackman,10,0,0,1752941.1764705882,0
150000000.0,18.826145858727198,111.0,Adventure,Warner Bros.,Joe Wright,Levi Miller,9,0,0,1351351.3513513512,0
145000000.0,18.7922443072814,92.0,Animation,Pacific Data Images (PDI),Rob Minkoff,Ty Burrell,2,0,0,1576086.956521739,0
175000000.0,18.980296537602072,163.0,Adventure,Plan B Entertainment,Wolfgang Petersen,Brad Pitt,5,0,0,1073619.6319018404,1
145000000.0,18.7922443072814,93.0,Animation,DreamWorks Animation,Conrad Vernon,Ben Stiller,6,1,1,1559139.7849462365,1
140000000.0,18.757152987716434,133.0,Adventure,Eon Productions,Lee Tamahori,Pierce Brosnan,11,0,0,1052631.5789473683,1
144000000.0,18.78532386448472,116.0,Action,Columbia Pictures,Paul Feig,Melissa McCarthy,7,0,1,1241379.3103448276,0
140000000.0,18.757152987716434,151.0,Action,Jerry Bruckheimer Films,Michael Bay,Bruce Willis,7,0,1,927152.3178807948,1
140000000.0,18.757152987716434,88.0,Action,Columbia Pictures,Barry Sonnenfeld,Tommy Lee Jones,7,0,1,1590909.0909090908,1
70000000.0,18.064005814299346,115.0,Adventure,Paramount Pictures,Robert Zemeckis,Ray Winstone,11,0,0,608695.6521739131,1
145000000.0,18.7922443072814,95.0,Action,Twentieth Century Fox Film Corporation,Jennifer Yuh Nelson,Jack Black,1,1,0,1526315.7894736843,1
145000000.0,18.7922443072814,133.0,Action,Paramount Pictures,Brad Bird,Tom Cruise,12,1,1,1090225.5639097744,1
145000000.0,18.7922443072814,97.0,Fantasy,DreamWorks Animation,Peter Ramsey,Chris Pine,11,0,0,1494845.3608247424,1
100000000.0,18.420680753952364,90.0,Comedy,Imagine Entertainment,Dean Parisot,Jim Carrey,12,0,1,1111111.111111111,1
140000000.0,18.757152987716434,154.0,Drama,Cruise/Wagner Productions,Edward Zwick,Tom Cruise,12,0,1,909090.9090909091,1
140000000.0,18.757152987716434,150.0,Adventure,Scott Free Productions,Ridley Scott,Christian Bale,12,0,1,933333.3333333334,0
150000000.0,18.826145858727198,127.0,Science Fiction,Paramount Pictures,J.J. Abrams,Chris Pine,5,0,0,1181102.3622047245,1
139000000.0,18.749984498289212,121.0,Fantasy,Columbia Pictures,Sam Raimi,Tobey Maguire,5,0,0,1148760.3305785125,1
145000000.0,18.7922443072814,102.0,Fantasy,DreamWorks Animation,Dean DeBlois,Jay Baruchel,6,1,1,1421568.6274509805,1
140000000.0,18.757152987716434,127.0,Fantasy,Summit Entertainment,Alex Proyas,Brenton Thwaites,2,0,0,1102362.2047244094,0
135000000.0,18.72078534381011,121.0,Action,Laura Ziskin Productions,Rob Cohen,Josh Lucas,7,0,1,1115702.479338843,0
130000000.0,18.683045016112164,163.0,Action,Paramount Pictures,Zack Snyder,Malin Åkerman,3,0,0,797546.0122699386,0
140000000.0,18.757152987716434,127.0,Action,Silver Pictures,Richard Donner,Mel Gibson,7,1,1,1102362.2047244094,1
137000000.0,18.73549149109167,138.0,Drama,Universal Pictures,Ang Lee,Eric Bana,6,0,1,992753.6231884058,0
130000000.0,18.683045016112164,110.0,Adventure,Paramount Pictures,Jon M. Chu,Dwayne Johnson,3,0,0,1181818.1818181819,1
130000000.0,18.683045016112164,124.0,Action,Paramount Pictures,Breck Eisner,Matthew McConaughey,4,0,0,1048387.0967741936,0
137000000.0,18.73549149109167,106.0,Adventure,Columbia Pictures,Hironobu Sakaguchi,Donald Sutherland,7,0,1,1292452.8301886793,0
140000000.0,18.757152987716434,124.0,Action,Marvel Studios,Joe Johnston,Chris Evans,7,0,1,1129032.2580645161,1
135000000.0,18.72078534381011,128.0,Adventure,Eon Productions,Michael Apted,Pierce Brosnan,11,0,0,1054687.5,1
150000000.0,18.826145858727198,138.0,Adventure,Universal Pictures,Peter Weir,Russell Crowe,11,0,0,1086956.5217391304,0
120000000.0,18.603002309079653,115.0,Adventure,Summit Entertainment,Bill Condon,Kristen Stewart,11,1,0,1043478.2608695652,1
130000000.0,18.683045016112164,100.0,Animation,Village Roadshow Pictures,George Miller,Elijah Wood,11,0,0,1300000.0,0
150000000.0,18.826145858727198,114.0,Science Fiction,Universal Pictures,Louis Leterrier,Edward Norton,6,0,1,1315789.4736842106,0
140000000.0,18.757152987716434,120.0,Adventure,Walt Disney Pictures,Steven Spielberg,Ruby Barnhill,6,0,1,1166666.6666666667,0
135000000.0,18.72078534381011,156.0,Western,Regency Enterprises,Alejandro González Iñárritu,Leonardo DiCaprio,12,0,1,865384.6153846154,1
135000000.0,18.72078534381011,96.0,Animation,DreamWorks Animation,David Soren,Ryan Reynolds,7,0,1,1406250.0,1
135000000.0,18.72078534381011,107.0,Animation,Paramount Pictures,Gore Verbinski,Johnny Depp,3,0,0,1261682.2429906542,0
132000000.0,18.6983124881264,92.0,Family,DreamWorks Animation,Eric Darnell,Tom McGrath,11,0,0,1434782.608695652,1
70000000.0,18.064005814299346,115.0,Action,Universal Pictures,Paul Greengrass,Matt Damon,8,1,0,608695.6521739131,1
130000000.0,18.683045016112164,90.0,Adventure,DreamWorks Animation,Mark Osborne,Jack Black,6,0,1,1444444.4444444445,1
130000000.0,18.683045016112164,117.0,Science Fiction,Marvel Studios,Peyton Reed,Paul Rudd,7,0,1,1111111.111111111,1
130000000.0,18.683045016112164,146.0,Adventure,Lionsgate,Francis Lawrence,Jennifer Lawrence,11,1,0,890410.9589041095,1
135000000.0,18.72078534381011,94.0,Fantasy,Twentieth Century Fox Film Corporation,Tim Johnson,Jim Parsons,3,0,0,1436170.2127659575,1
132000000.0,18.6983124881264,116.0,Adventure,Paramount Pictures,Steven Spielberg,Tom Cruise,6,0,1,1137931.0344827587,1
130000000.0,18.683045016112164,147.0,Adventure,Columbia Pictures Corporation,Michael Bay,Martin Lawrence,7,0,1,884353.7414965987,1
130000000.0,18.683045016112164,90.0,Action,DreamWorks,Chris Miller,Antonio Banderas,10,0,0,1444444.4444444445,1
110000000.0,18.5159909328476,100.0,Action,Columbia Pictures,Phillip Noyce,Angelina Jolie,7,0,1,1100000.0,1
125000000.0,18.643824303266577,139.0,Drama,Paramount Pictures,Darren Aronofsky,Russell Crowe,3,0,0,899280.5755395683,1
130000000.0,18.683045016112164,107.0,Adventure,Paramount Pictures,Steven Spielberg,Jamie Bell,10,0,0,1214953.2710280374,1
130000000.0,18.683045016112164,141.0,Adventure,1492 Pictures,Alfonso Cuarón,Daniel Radcliffe,5,0,0,921985.8156028369,1
130000000.0,18.683045016112164,165.0,Drama,Bazmark Films,Baz Luhrmann,Nicole Kidman,11,0,0,787878.7878787878,0
130000000.0,18.683045016112164,100.0,Science Fiction,Columbia Pictures,M. Night Shyamalan,Jaden Smith,5,0,0,1300000.0,0
127500000.0,18.663626930405893,82.0,Animation,Walt Disney Pictures,Ralph Zondag,D. B. Sweeney,5,0,0,1554878.0487804879,1
127000000.0,18.65969765229688,97.0,Adventure,Twentieth Century Fox Film Corporation,Shawn Levy,Ben Stiller,12,0,1,1309278.3505154639,1
130000000.0,18.683045016112164,95.0,Animation,DreamWorks Animation,Tom McGrath,Will Ferrell,10,0,0,1368421.0526315789,1
125000000.0,18.643824303266577,152.0,Adventure,1492 Pictures,Chris Columbus,Daniel Radcliffe,11,0,0,822368.4210526316,1
130000000.0,18.683045016112164,96.0,Fantasy,Universal Pictures,Robert Schwentke,Jeff Bridges,7,0,1,1354166.6666666667,0
140000000.0,18.757152987716434,143.0,Adventure,Walt Disney Pictures,Gore Verbinski,Johnny Depp,7,0,1,979020.979020979,1
125000000.0,18.643824303266577,123.0,Science Fiction,Lionsgate,Francis Lawrence,Jennifer Lawrence,11,1,0,1016260.162601626,1
125000000.0,18.643824303266577,149.0,Thriller,Columbia Pictures,Ron Howard,Tom Hanks,5,0,0,838926.1744966443,1
103000000.0,18.450239555902648,102.0,Animation,Blue Sky Studios,Carlos Saldanha,Jesse Eisenberg,3,1,0,1009803.9215686275,1
110000000.0,18.5159909328476,133.0,Adventure,Twentieth Century Fox Film Corporation,Bryan Singer,Patrick Stewart,4,0,0,827067.6691729323,1
125000000.0,18.643824303266577,130.0,Action,Universal Pictures,Justin Lin,Vin Diesel,4,0,0,961538.4615384615,1
125000000.0,18.643824303266577,129.0,Adventure,Village Roadshow Pictures,Guy Ritchie,Robert Downey Jr.,11,0,0,968992.2480620155,1
125000000.0,18.643824303266577,106.0,Adventure,The Zanuck Company,Louis Leterrier,Sam Worthington,4,0,0,1179245.283018868,0
65000000.0,17.989897843244528,113.0,Action,TriStar Pictures,Paul Verhoeven,Arnold Schwarzenegger,6,0,1,575221.2389380531,1
160000000.0,18.8906843794481,102.0,Adventure,Touchstone Pictures,John McTiernan,Antonio Banderas,8,0,0,1568627.450980392,0
130000000.0,18.683045016112164,120.0,Action,Universal Pictures,Tony Gilroy,Jeremy Renner,8,0,0,1083333.3333333333,1
125000000.0,18.643824303266577,125.0,Action,PolyGram Filmed Entertainment,Joel Schumacher,George Clooney,6,0,1,1000000.0,0
123000000.0,18.627694921466773,104.0,Family,Imagine Entertainment,Ron Howard,Jim Carrey,11,0,0,1182692.3076923077,1
125000000.0,18.643824303266577,124.0,Action,Lions Gate Films,Roland Emmerich,Dennis Quaid,5,0,0,1008064.5161290322,1
